,place_name,rating,review
0,14 Henrietta Street,4.625,"The museum is very good. I highly recommend it to know more about georgian houses and Dublin's life.
The experience was overall really good. However, the tour was with a group of 20 people, and the rooms are not big enough to appreciate all with big groups. The museum should consider this.
The guide was ok, good information but with no group management at all. He started to talk before the group was inside the room. I've lost half of the tour because of this. This museum tells an important story about perseverance, community building, social class, and the spirit struggle for social justice in Ireland with lessons all societies.
14 Henrietta invites visitors to look inside this Irish history with empathy and build capacity to confront disparities in any way one can. Excellent tour narrative and engaging use of technology. A must visit for locals and tourists. A real look into tenement life in Dublin and the history on how it started. Lloyd was our guide and was brilliant. He is a local who was born and bread close by which added to the experience hearing the history and stories with a local accent and colloquialisms. We learned so much about the history of Dublin on this guided tour, as it related to the people who lived at this location. It is a gorgeous block, used for many film shoots. You would never believe that thousands of people lived in poverty and squalor in these houses that were once grand but then turned into tenements. The last tenant moving out in 1979!! Great place to visit.  Go back in time to the 1700s  through to the 1970s as your guided through the house.  Great guide, and the buildings rooms help transport you to the lives of people as they lived there.  Go to this place if you have any interest in the history of dublin. This is a great historic overview of Georgian house and it's transformation from a mansion of one wealthy family in the 1700's to tenement housing for 26 families through to the 1970's. Gus was our tour guide and he was very knowledgeable and was happy to take questions. This is a must see tour to understand the history of Dublin.
Give yourself and hour and a half for the tour. 14 Henrietta Street is a must-see in Dublin! It gives you a look into the reality of the tenement life. Our guide was knowledgeable and passionate. The tour was about 75 minutes. myself and my wife brought her parents who are from around that area , we really enjoyed the tour, Gillian was fantastic with her knowledge and strong Dublin accent which made you feel right at home, 100% recommend"
1,1916 Rebellion Walking Tour,5.0,"Lorcan is a professional guide, passionate about Irish history, an author, factual and engaging. The real deal, a brilliant walking tour all round. Lorcan is a knowledgeable and passionate historian and storyteller. If you've got the time and want to learn a bit about the origins of the Irish Republic while enjoying a walk around Dublin, then you should check out the tour. You'll have a fun and informative time. Cheers! The tour was the highlight of our visit to Dublin. Lorcan's walk is engaging and extremely informative but with humour, expert story telling, and a deeply human approach. I can't recommend it enough - thanks again Lorcan Lorcan was an amazing tour guide and it was a fascinating journey through Irish history. Highly recommended! An absolute must for any visit to Dublin!
The passion, attention to detail, total showmanship and care for his audience makes this a once in a lifetime experience!
How he engages with his public and manages to wheel out the names and details whilst answering some searching questions is truly amazing.
I knew fragments of the story and in a matter of minutes with his typical jovial nature he had filled in the details, debunked some very common myths and gleefully but rightly expressed his frank and funny opinion of some historical figures.

If only my history teacher had had 1% of his talent, enthusiasm and social skills, I'd be a history graduate today.

If you skip this tour, it's because you're a total idiot and have missed out on a once in a lifetime experience!

Great tour, Lorcan!!!. What else can I say? Highly recommend! Lorcan was entertaining, insightful, and highly informative. I went in knowing very little about the rebellion and left with a deep appreciation for the struggle and sacrifice of many generations of Irish men and women. Lorcan is a fantastic guide and an enormously kind and funny person! Forget about all the tourist busses, if you really want to know about Dublin's history from below, there can't be any other choice than him. Thank you for the experience, comrade. Great tour by a world class tour guide! Lorcan kept us enthralled. Told in a witty manner that was easy to understand, I could have listened to him all day. A++"
2,Arthur Guinness Dwelling House,5.0,"Who would think ""Guinness Beer"" at that time?"
3,Big Bus Tours Dublin,4.875,"Jerry (Gerry?) was a GREAT driver!!!!  The bus takes you by many historical places and his commentary (and singing) was wonderful.  The other two drivers were okay.  Seats were small for a larger person. Staff were very helpful with my disabled husband.  If we weren't so tired we would have ridden around a couple times just to be sure we saw everything.  This was a great way for us to do something productive while waiting to check into our hotel. Me and my husband just came back from Dublin and we got a 48hr ticket included the night tour. All the drivers we had were brilliant funny stories lots of information especially Robbie and Brian definitely recommend this bus tour. We did the whole tour then jumped on and off the rest of the time great service. It was incredibly helpful to experience all the sights of Dublin, especially when time was limited. The audio recordings provided clarity without being dull, and when we switched buses, Paul, our guide, was remarkably engaging, injecting humor while highlighting important landmarks worth stopping at. The app, which allowed us to track stops and schedules, proved invaluable in maximizing our visit to Dublin. I loved it!!!
Yes, there is couple of details to improve but it doesn't take back the fact that I did enjoy it and Big Bus Dublin have a great Tours offer and have a really welcoming and friendly Drivers/Guides combination. Ali (Hop-on Hop-off knowledgeable driver), Jerry (Fabolous knowledgeable and fun Coastal driver), Ros (Fun and fresh speaker Night Tour) and Albert (Night Tour driver).
100% Recommended. Ross was an absolutely fantastic guide very knowledgeable and uproariously funny. Our driver Lee was also very professional and had a great report with the guide. We were gonna just ride the bus for a bit and hop off but once we heard Ross and his enthusiasm we had to ride the whole tour with him start at stop 1 and make sure you get Ross (Don't ask about Rachel) Incredible !!!
We did the coastal tour , 40 min drive to the cliffs and then to the small village of Howth.
During the stops you have time to explore the locations and take some nice pictures and eat something.
Our tour guide Robbie and he was amazing and also very funny.
Well deserved 5 stars review! 
By the way we used our Dublin pass from Go City We had a great time in the bus, especially with guides Alan and Brian who were brilliant. My wheelchair was accommodated and I rode for free, the stops were easy to find and if you download the app it's very helpful. The only disappointment was that there is a long wait at stop one when changing over buses which was not explained when buying tickets and getting on at stop 7. The App was very helpful in determining when the next bus would come. Live guides. We were on 3 different buses. All of the buses were very clean. The guides were all very friendly,  efficient and safe drivers in very busy Dublin traffic. They were all very easy to understand.  The tour was only offered in English. The ticket is good for 24 hours. The map on the flyer was also very helpful."
4,Blessington Street Basin,4.75,"Amazing small place to have a rest, read or have a small picnic. It had shade, an amazing view.
It's not in the most amazing neighborhood but nobody bothered us Very nice place, quiet in the evening, perfect for a little walk to see the birds without fear. Beautiful little park and lake in the Phibsborough area of Dublin. It's well maintained and a real haven for wildlife. There's a pretty little gate lodge at the main entrance to the park. Marvelous park! It's so relaxing the sound of water so peaceful! Different kinds of birds and trees around! It's nice for a walk or just to sit down and read a book or just watch the birds and water! Loved it! Sweet little park. If you are in this area, definitely pop in to see the flowers. The plants are all blooming for spring already and the ducks are fun to watch. The walled garden is just a nice place to visit and obviously well loved. Lovely little space to spend your lunch break in. You wouldn't know you were in the city once in here. It is so peaceful. It was lovely to see the family of swans,various ducks and the big bird, is it a heron? not sure, and plenty of gicknahs(pigeons). Lovely little path around a water reservoir with the sound of fountains, quacking of ducks n ducklings. 1 lap of the path is 400m; 5 laps makes 2km; 10 laps-4km. Benches along the path, paintings on the stone walls, little fairy doors, swans in the water, colourful flowering shrubs all around, little bronze sculpture in the walls Always beautiful regardless of the weather. Maintained by creative hardworking friendly staff. And a bird sanctuary right here in town. Then there's one of those posh markets on Fridays. Lovely buzz about the place."
5,Chancery Park,4.0,"Gorgeous park with a massive beautiful church. Love the water fountain, the brown ish building behind, and the cute little park at the corner. It's a wonderful place to relax and release some stress after work.
There is a tram cafe there as well to enjoy such calming experience  to the fullest. A ""pocket"" park in the begining of the Chancery Str.
Protected by raillings it has two entrance doors.
The fountain in the middle offers is the greater surprise to the passerby. It is impressive how neatly clean the park is kept. I stayed five days at the near by hotel and never saw someone sitting on the three iron cast benches on the one side of the fountain! No matter what the park adds a nice brush to the surrounding area! It matches well with the brick built houses very close at the Ormond square. The benches are v nice and there's a lovely fountain too Today I was more than surprised by the fact that I could enter this nice little park. The park is an extension of Chancery House, a block of Art Deco style council built flats designed in 1934 by the then city housing architect, Herbert Simms.

My understanding has been that the park was locked most of the time because of anti-social activity in the area.

Today I discovered that a number of parks in the area have been re-opened to the public but in the case of Chancery Park access is limited to a few hours a day [8 hours Mon-Tues and 4 hours on Fridays with no access at weekends].

Maybe if enough people visit the hours may be extended. Small park with a small bit of history attached. It was a quiet spot in a busy area. Nice. An amazing little park to relax. It has a water fountain. Well maintained garden. I live in the area its a quite little community ive lived in chancery house since I was 12/13 & im 44this June love the area &everything is on your doorstep luas buses trains & the city centre town Absolutely beautiful little park, meet a lovely lady with her little dog, so peaceful in the had to believe it was in the city"
6,Chillest Bench,5.0,"Traveled from the U.S. to experience the chillness of this bench. The reviews were all correct. This was in fact the chillest bench that has ever graced my cheeks. 10/5 would recommend Took a nine hour flight to see the Chillest Bench, did not disappoint. I even got to talking with the waiter, a little grey feathery fellow, and the stories he had were inspiring!! I went to chill on this bench , but I didn't realise it was the chill bench . Was supposed to only chill , lay low for about 10 mins. I ended up leaving the bench after 30 mins giggling with my eyes pure red . I strongly recommend prebooking a spot on the bench . I had to wait in line for about 15 mins to chill . Got really lucky and managed to get a seat in 15 minutes, should have pre-booked. Bench is extremely chill, great place for a cigarette and or a sandwich. I don't smoke but if I did I would on this very bench. I ended up drinking lucozade sport orange flavour with two of my friends. The view of the Samuel becket bridge, Dublin skyline, and light breeze make it undoubtedly the chilliest bench in Dublin. Hella chill bench... Almost missed my bus to the airport because i was so chill. 10/10, came here after having lunch at Eddie Rocket's and it was very chill. Never forget this bench , used to walk past it on way to work in 2004. Beautiful view, chill bench, can't improve on it"
7,Christ Church Cathedral,4.625,"Ruth Kennedy was our wonderful and very knowledgeable tour guide. This is a beautiful and educational tour of a historic sight in Dublin. There were children in our group and Ruth tried to keep them entertained as well which was very helpful. You can also rent audio equipment and do a self guided at your own pace tour. The audio could be helpful if you are hard of hearing. Wonderful gift shop also available for beautiful keepsakes and souvenirs. The cathedral is a magnificent one. Beautiful stain-glass windows. It has a larger crypt with lot of old artificets. Marvellous floor and Marbles statues. It has a good pipe organ, and a lot of antiques. Worth a visit. Please check the entrance times online - we stop by one day and it was closed for a three hour. And we're not able to get back till three days later. It was well worth it it was Friday morning not too big of a crowd walk right here but we did have to pay an entrance fee, as well as at Saint Patrick's Cathedral which was a little surprising as many cathedral throughout Europe are free to enter. But it was beautiful inside and great to walk around and look at everything and then go to the dungeons The cathedral has a Irish charm ans is absolutely rich with history. The audio guide is done very well with multiple paths you can take at each stop. The crypt is very cool to check out and is the oldest structure in Dublin.

It's a bit pricy for for the tour, as it's rather plain by European cathedral standards. We went in the evening. It's beautiful from inside. The priests were saying their words from the holy book. It quite big We walked in and there was no waiting to purchase is self-guided tour ticket. We took our time and were able to finish the tour in about an hour.

They had 3:00 (15:00) Mass going on which added a nice touch to the tour.
They offer guided tours for a higher price as well as family, student, and senior pricing.

The stained glass windows throughout were amazing! Visited as a music venue today.
Acoustics were very pleasing.
Saw much architectural excellence that entices me to return. We went for the 5pm service, so we didn't pay anything to get in. We enjoyed visiting the church and learning about its history. They have costumes we can wear, so of course we loved the props."
8,City Kayaking,5.0,"A truly unique experience! I highly recommend this activity. It's great for beginners and for those with more experience! Our tour guide Jonathan was so friendly and the musician we had,  Fin, was very good! We will definitely be downloading his music!! A great way to learn about the history of Dublin whilst seeing it from a unique location. Guide was highly knowledgeable and engaging. Highly recommend! This is one of the best gigs I have attended in my life. Amazing kayak trip, very easy and friendly, but overall, it was absolutely phenomenal to hear the acoustic under O'Connel bridge. Thank you so much! I literally came to Dublin for this unique experience and it didn't disappoint! As a child I'd seen a picture of someone kayaking through the city and it ended up being my very first impression of Dublin. It was a rare rainy and windy day in Dublin's summer but Mr Jonathan still managed to help us beginners have a smooth and fun ride, all while happily sharing his abundant information about Dublin I'd never known before! It offered a perspective you can't get just by walking around the city and I'm so glad I finally managed to fulfil this dream of mine. Really fun activity for anyone, you don't have to be particularly fit and the activity is suitable for families. (If you do want to go a bit harder, you can too). I thought the tour was informative and definitely original. The staff was professional, knowledgeable and friendly. Great experience all around We were blessed with a lovely evening but I would've enjoyed it if it was raining! I went with my 13 year old daughter and she adored it.

Great staff who made the event enjoyable, paddling wasn't too challenging and the music under the arches was magical. Would definitely recommend, it was a brilliant two hours. A wonderful way to spend our first evening in Dublin. We took the musical tour under the bridges. A seal joined us for part of the trip! Really nice activity to see the city from a different point of view. Friendly staff and good equipment. During the paddling there is a guy from staff with boat that take picture of you for free. Highly recommended. But bring a spare clothes with you!"
9,Collins Day Tours-Dublin,5.0,"I had a wonderful day in Wicklow & Kilkenny! Our tourguide Pat did such a lovely job! He's really passionate and had some really interest facts about the Irish Countryside. I recommend the tour to everyone especially with Pat and his lovely driver A! Pat the tour guide and Bart the driver were amazing. Pat was friendly, welcoming, and very informative the entire tour. He even went out of his way to chat with everyone 1:1 before the tour ended to see if we had any questions he could answer. He gave us great recommendations on other attractions in the area. Highly recommend for anyone visiting Dublin! I cannot say enough good things about Collins Day Tours! Our guide for that day was Pat, and Alec was the driver. Everything was so smooth and organized. Pat is a natural storyteller and you can tell just how much he loves and appreciates his homeland. He really knows his history. We had the perfect amount of time at Glendalough, and the drive through Wicklow National Park was beautiful. Kilkenny was a great stop as well, as the people with me were dying to visit a castle! And on top of all that, he even brought the good weather. ;) Definitely worth your day and money to book! It was a great day with tourguide Pat. He has vast knowledge of the Irish history and great stories so the ride in the coach goes by in no time. Thank you for this great trip, would highly recommend to do this for a day. I cannot stress this enough - Pat was THE BEST tour guide I've ever had! This guy went above and beyond anything a tourist needs to enjoy a field trip. He talked about everything that may interest us without being monotone or boring. His partner was Bart, an excellent bus driver with driving skills. Huge plus is their sense of humour and warm personality. Highly recommend! Went to kilkenny  and Glendalough. A trip worthwhile. The guide, Dermot, went above and beyond. He covered the whole Irish history, the places where we stopped and anything in between. Complete package with live songs and funny episodes. I just feel the trip could be longer.
Any trip with Dermot should be worth while. Our tour was with Dermot. Great guide. Very friendly and prepared to teach us about the trip and about Ireland. I apreciated the rigor
with the schedules. I would totally recomend this tour and guide. Pat the tour guide was enthusiastic, funny and made the trip a blast. You can feel his love for the people and the history above all. Would take a tour from him anywhere! And Alec the bus driver was a fantastic driver."
